gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
6326-d,1620235083001,1,clickedObj,,tomato,filler,none,target,1,2,fish,filler,none,distractor,4,1,pig,filler,none,distractor,2,3,horse,filler,none,distractor,3,4
6326-d,1620235092813,2,clickedObj,,elephant,filler,none,target,4,3,bowl,filler,none,distractor,2,4,guitar,filler,none,distractor,3,1,banana,filler,none,distractor,1,2
6326-d,1620235104919,3,clickedObj,,butterfly,filler,none,target,4,2,chick,filler,none,distractor,1,3,dog,filler,none,distractor,3,4,strawberry,filler,none,distractor,2,1
6326-d,1620235120328,4,clickedObj,,horse,filler,none,target,1,3,fish,filler,none,distractor,2,4,tomato,filler,none,distractor,4,2,pig,filler,none,distractor,3,1
6326-d,1620235125705,5,clickedObj,,strawberry,filler,none,target,1,1,chick,filler,none,distractor,3,4,dog,filler,none,distractor,2,2,butterfly,filler,none,distractor,4,3
6326-d,1620235133635,6,clickedObj,,scissors_small_blue,overinformativeness,color_sufficient,target,2,3,scissors_big_green,overinformativeness,color_sufficient,distractor,1,4,scissors_small_green,overinformativeness,color_sufficient,distractor,4,2,scissors_small_green,overinformativeness,color_sufficient,distractor,3,1
6326-d,1620235162448,7,clickedObj,,spoon_wooden_dirty,adjective_ordering,none,distractor,4,4,spoon_wooden_clean,adjective_ordering,none,target,3,2,spoon_metal_clean,adjective_ordering,none,distractor,1,3,spoon_metal_dirty,adjective_ordering,none,distractor,2,1
6326-d,1620235173597,8,clickedObj,,pig,filler,none,target,3,2,horse,filler,none,distractor,2,1,fish,filler,none,distractor,4,3,tomato,filler,none,distractor,1,4
6326-d,1620235182267,9,clickedObj,,dress_small_green,overinformativeness,size_sufficient,target,3,2,dress_big_green,overinformativeness,size_sufficient,distractor,2,1,dress_big_green,overinformativeness,size_sufficient,distractor,1,4,dress_big_blue,overinformativeness,size_sufficient,distractor,4,3
6326-d,1620235187656,10,clickedObj,,socks_big_blue,overinformativeness,color_sufficient,target,2,3,socks_big_green,overinformativeness,color_sufficient,distractor,1,2,socks_big_green,overinformativeness,color_sufficient,distractor,4,4,socks_small_green,overinformativeness,color_sufficient,distractor,3,1
6326-d,1620235193967,11,clickedObj,,apple_big_red,overinformativeness,size_sufficient,target,1,3,apple_small_red,overinformativeness,size_sufficient,distractor,3,2,apple_small_green,overinformativeness,size_sufficient,distractor,2,1,apple_small_red,overinformativeness,size_sufficient,distractor,4,4
6326-d,1620235199096,12,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,4,1,lighter_small_black,overinformativeness,color_sufficient,distractor,3,3,lighter_big_black,overinformativeness,color_sufficient,distractor,1,2,lighter_big_black,overinformativeness,color_sufficient,distractor,2,4
6326-d,1620235203835,13,clickedObj,,pot_big_blue,overinformativeness,color_sufficient,target,1,3,pot_big_green,overinformativeness,color_sufficient,distractor,4,2,pot_small_green,overinformativeness,color_sufficient,distractor,2,1,pot_big_green,overinformativeness,color_sufficient,distractor,3,4
6326-d,1620235209897,14,clickedObj,,key_big_silver,overinformativeness,size_sufficient,target,3,1,key_small_gold,overinformativeness,size_sufficient,distractor,1,4,key_small_silver,overinformativeness,size_sufficient,distractor,4,3,key_small_silver,overinformativeness,size_sufficient,distractor,2,2
6326-d,1620235229464,15,clickedObj,,man2_mustached_glassed,adjective_ordering,none,target,3,4,man2_mustached_hatted,adjective_ordering,none,distractor,4,3,man2_bearded_glassed,adjective_ordering,none,distractor,1,2,man2_bearded_hatted,adjective_ordering,none,distractor,2,1
6326-d,1620235235119,16,clickedObj,,car_small_blue,overinformativeness,size_sufficient,target,3,1,car_big_green,overinformativeness,size_sufficient,distractor,2,4,car_big_blue,overinformativeness,size_sufficient,distractor,1,3,car_big_blue,overinformativeness,size_sufficient,distractor,4,2
6326-d,1620235241182,17,clickedObj,,glove_small_orange,overinformativeness,size_sufficient,target,2,3,glove_big_orange,overinformativeness,size_sufficient,distractor,3,2,glove_big_green,overinformativeness,size_sufficient,distractor,1,4,glove_big_orange,overinformativeness,size_sufficient,distractor,4,1
6326-d,1620235254633,18,clickedObj,,picture_bw_square,adjective_ordering,none,target,1,3,picture_colored_square,adjective_ordering,none,distractor,3,4,picture_colored_rectangular,adjective_ordering,none,distractor,2,2,picture_bw_rectangular,adjective_ordering,none,distractor,4,1
6326-d,1620235288073,19,clickedObj,,umbrella_big_green,overinformativeness,color_sufficient,target,4,4,umbrella_big_blue,overinformativeness,color_sufficient,distractor,2,3,umbrella_big_blue,overinformativeness,color_sufficient,distractor,3,1,umbrella_small_blue,overinformativeness,color_sufficient,distractor,1,2
6326-d,1620235293937,20,clickedObj,,banana,filler,none,target,3,4,bowl,filler,none,distractor,2,3,elephant,filler,none,distractor,4,1,guitar,filler,none,distractor,1,2
6326-d,1620235299088,21,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,4,brush_small_blue,overinformativeness,size_sufficient,distractor,2,3,brush_small_red,overinformativeness,size_sufficient,distractor,1,1,brush_small_blue,overinformativeness,size_sufficient,distractor,4,2
6326-d,1620235305595,22,clickedObj,,ball_small_purple,overinformativeness,size_sufficient,target,2,3,ball_big_purple,overinformativeness,size_sufficient,distractor,3,4,ball_big_yellow,overinformativeness,size_sufficient,distractor,4,1,ball_big_purple,overinformativeness,size_sufficient,distractor,1,2
6326-d,1620235311313,23,clickedObj,,pepper_small_green,overinformativeness,color_sufficient,target,1,3,pepper_big_red,overinformativeness,color_sufficient,distractor,3,2,pepper_small_red,overinformativeness,color_sufficient,distractor,4,4,pepper_small_red,overinformativeness,color_sufficient,distractor,2,1
6326-d,1620235320932,24,clickedObj,,table_wood_high,adjective_ordering,none,target,1,4,table_wood_low,adjective_ordering,none,distractor,4,3,table_metal_high,adjective_ordering,none,distractor,3,1,table_metal_low,adjective_ordering,none,distractor,2,2
6326-d,1620235327360,25,clickedObj,,glasses_big_red,overinformativeness,size_sufficient,target,1,1,glasses_small_blue,overinformativeness,size_sufficient,distractor,2,3,glasses_small_red,overinformativeness,size_sufficient,distractor,3,2,glasses_small_red,overinformativeness,size_sufficient,distractor,4,4
6326-d,1620235405247,26,clickedObj,,balloon_big_pink,overinformativeness,size_sufficient,target,2,4,baloon_small_yellow,overinformativeness,size_sufficient,distractor,4,3,baloon_small_pink,overinformativeness,size_sufficient,distractor,1,1,baloon_small_pink,overinformativeness,size_sufficient,distractor,3,2
6326-d,1620235414245,27,clickedObj,,lock_small_silver,overinformativeness,color_sufficient,target,3,4,lock_small_gold,overinformativeness,color_sufficient,distractor,1,1,lock_big_gold,overinformativeness,color_sufficient,distractor,4,2,lock_small_gold,overinformativeness,color_sufficient,distractor,2,3
6326-d,1620235425156,28,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,1,1,bag_small_blue,overinformativeness,size_sufficient,distractor,2,4,bag_small_red,overinformativeness,size_sufficient,distractor,4,3,bag_small_red,overinformativeness,size_sufficient,distractor,3,2
6326-d,1620235438043,29,clickedObj,,man_young_bearded,adjective_ordering,none,target,1,1,man_old_cleanshaven,adjective_ordering,none,distractor,2,4,man_old_bearded,adjective_ordering,none,distractor,4,2,man_young_cleanshaven,adjective_ordering,none,distractor,3,3
6326-d,1620235458430,30,clickedObj,,tie_big_blue,overinformativeness,color_sufficient,target,2,2,tie_big_red,overinformativeness,color_sufficient,distractor,4,1,tie_big_red,overinformativeness,color_sufficient,distractor,1,4,tie_small_red,overinformativeness,color_sufficient,distractor,3,3
6326-d,1620235478583,31,clickedObj,,hair_straight_blond,adjective_ordering,none,target,3,2,hair_curly_brown,adjective_ordering,none,distractor,4,3,hair_curly_blonde,adjective_ordering,none,distractor,2,1,hair_straight_brown,adjective_ordering,none,distractor,1,4
6326-d,1620235486459,32,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,target,4,1,clock_big_purple,overinformativeness,size_sufficient,distractor,3,2,clock_big_yellow,overinformativeness,size_sufficient,distractor,2,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,1,4
6326-d,1620235500045,33,clickedObj,,nails_black_matte,adjective_ordering,none,target,3,4,nails_red_glossy,adjective_ordering,none,distractor,1,3,nails_black_glossy,adjective_ordering,none,distractor,2,2,nails_red_matte,adjective_ordering,none,distractor,4,1
6326-d,1620235510106,34,clickedObj,,woman_young_happy,adjective_ordering,none,target,3,1,woman_young_sad,adjective_ordering,none,distractor,1,4,woman_old_sad,adjective_ordering,none,distractor,2,2,woman_old_happy,adjective_ordering,none,distractor,4,3
6326-d,1620235516102,35,clickedObj,,button_small_green,overinformativeness,size_sufficient,target,1,2,button_big_blue,overinformativeness,size_sufficient,distractor,3,4,button_big_green,overinformativeness,size_sufficient,distractor,4,1,button_big_green,overinformativeness,size_sufficient,distractor,2,3
6326-d,1620235523038,36,clickedObj,,carrot,filler,none,target,3,1,cow,filler,none,distractor,2,4,door,filler,none,distractor,1,2,pitcher,filler,none,distractor,4,3
6326-d,1620235531948,37,clickedObj,,bowl,filler,none,target,3,3,banana,filler,none,distractor,1,1,guitar,filler,none,distractor,4,2,elephant,filler,none,distractor,2,4
6326-d,1620235540738,38,clickedObj,,tshirt_small_orange,overinformativeness,color_sufficient,target,2,1,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,4,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,3,2,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,4,3
6326-d,1620235550079,39,clickedObj,,earring_big_round,adjective_ordering,none,target,3,2,earring_small_round,adjective_ordering,none,distractor,4,1,earring_big_triangular,adjective_ordering,none,distractor,2,4,earring_small_triangular,adjective_ordering,none,distractor,1,3
