gameid, time, roundNum, trialType, extra, clickedObjName, clickedObjTrialType ,clickedObjCondition, clickedObjTargetStatus, clickedObjSpeakerLocs, clickedObjListenerLocs, alt1Name, alt1TrialType, alt1Condition, alt1TargetStatus, alt1SpeakerLocs, alt1ListenerLocs, alt2Name, alt2TrialType, alt2Condition, alt2TargetStatus, alt2SpeakerLocs, alt2ListenerLocs, alt3Name, alt3TrialType, alt3Condition, alt3TargetStatus, alt3SpeakerLocs, alt3ListenerLocs
4108-4,1621446059052,1,clickedObj,,tomato,filler,none,target,1,3,pig,filler,none,distractor,4,1,horse,filler,none,distractor,3,2,fish,filler,none,distractor,2,4
4108-4,1621446065870,2,clickedObj,,elephant,filler,none,target,1,2,bowl,filler,none,distractor,3,4,banana,filler,none,distractor,4,3,guitar,filler,none,distractor,2,1
4108-4,1621446072771,3,clickedObj,,butterfly,filler,none,target,4,4,dog,filler,none,distractor,2,2,strawberry,filler,none,distractor,1,3,chick,filler,none,distractor,3,1
4108-4,1621446078655,4,clickedObj,,horse,filler,none,target,1,1,fish,filler,none,distractor,4,4,pig,filler,none,distractor,3,2,tomato,filler,none,distractor,2,3
4108-4,1621446091211,5,clickedObj,,strawberry,filler,none,target,2,4,butterfly,filler,none,distractor,1,2,chick,filler,none,distractor,3,1,dog,filler,none,distractor,4,3
4108-4,1621446101336,6,clickedObj,,ball_big_purple,overinformativeness,size_sufficient,target,3,2,ball_small_purple,overinformativeness,size_sufficient,distractor,1,4,ball_small_yellow,overinformativeness,size_sufficient,distractor,4,1,ball_small_purple,overinformativeness,size_sufficient,distractor,2,3
4108-4,1621446113124,7,clickedObj,,glove_big_orange,overinformativeness,size_sufficient,target,1,4,glove_small_green,overinformativeness,size_sufficient,distractor,2,1,glove_small_orange,overinformativeness,size_sufficient,distractor,4,3,glove_small_orange,overinformativeness,size_sufficient,distractor,3,2
4108-4,1621446124811,8,clickedObj,,dress_big_blue,overinformativeness,size_sufficient,target,1,2,dress_small_blue,overinformativeness,size_sufficient,distractor,2,3,dress_small_green,overinformativeness,size_sufficient,distractor,3,4,dress_small_blue,overinformativeness,size_sufficient,distractor,4,1
4108-4,1621446131280,9,clickedObj,,fish,filler,none,target,1,4,tomato,filler,none,distractor,2,3,pig,filler,none,distractor,4,1,horse,filler,none,distractor,3,2
4108-4,1621446172709,10,clickedObj,,key_small_gold,overinformativeness,size_sufficient,target,2,4,key_big_gold,overinformativeness,size_sufficient,distractor,1,1,key_big_gold,overinformativeness,size_sufficient,distractor,3,2,key_big_silver,overinformativeness,size_sufficient,distractor,4,3
4108-4,1621446181115,11,clickedObj,,pig,filler,none,target,1,3,tomato,filler,none,distractor,4,2,horse,filler,none,distractor,3,4,fish,filler,none,distractor,2,1
4108-4,1621446192391,12,clickedObj,,flower_small_yellow,overinformativeness,size_sufficient,target,4,3,flower_big_yellow,overinformativeness,size_sufficient,distractor,1,4,flower_big_pink,overinformativeness,size_sufficient,distractor,2,2,flower_big_yellow,overinformativeness,size_sufficient,distractor,3,1
4108-4,1621446209994,13,clickedObj,,woman_young_sad,adjective_ordering,none,target,1,2,woman_young_happy,adjective_ordering,none,distractor,4,4,woman_old_happy,adjective_ordering,none,distractor,3,1,woman_old_sad,adjective_ordering,none,distractor,2,3
4108-4,1621446221930,14,clickedObj,,shoe_small_pink,overinformativeness,color_sufficient,target,4,4,shoe_big_yellow,overinformativeness,color_sufficient,distractor,1,1,show_small_yellow,overinformativeness,color_sufficient,distractor,3,2,show_small_yellow,overinformativeness,color_sufficient,distractor,2,3
4108-4,1621446232265,15,clickedObj,,bag_big_red,overinformativeness,size_sufficient,target,2,3,bag_small_red,overinformativeness,size_sufficient,distractor,4,2,bag_small_blue,overinformativeness,size_sufficient,distractor,1,4,bag_small_red,overinformativeness,size_sufficient,distractor,3,1
4108-4,1621446238398,16,clickedObj,,carrot,filler,none,target,4,1,pitcher,filler,none,distractor,3,4,cow,filler,none,distractor,2,2,door,filler,none,distractor,1,3
4108-4,1621446251039,17,clickedObj,,pencil_short_black,adjective_ordering,none,target,1,4,pencil_short_blue,adjective_ordering,none,distractor,3,2,pencil_long_black,adjective_ordering,none,distractor,4,3,pencil_long_blue,adjective_ordering,none,distractor,2,1
4108-4,1621446262201,18,clickedObj,,baloon_small_pink,overinformativeness,size_sufficient,target,1,4,balloon_big_yellow,overinformativeness,size_sufficient,distractor,4,3,balloon_big_pink,overinformativeness,size_sufficient,distractor,3,2,balloon_big_pink,overinformativeness,size_sufficient,distractor,2,1
4108-4,1621446297203,19,clickedObj,,woman2_sad_fat,adjective_ordering,none,target,4,3,woman2_happy_fat,adjective_ordering,none,distractor,2,2,woman2_sad_skinny,adjective_ordering,none,distractor,1,1,woman2_happy_skinny,adjective_ordering,none,distractor,3,4
4108-4,1621446311818,20,clickedObj,,chair_small_blue,overinformativeness,size_sufficient,target,1,3,chair_big_blue,overinformativeness,size_sufficient,distractor,2,1,chair_big_yellow,overinformativeness,size_sufficient,distractor,3,4,chair_big_blue,overinformativeness,size_sufficient,distractor,4,2
4108-4,1621446336578,21,clickedObj,,bottle_glass_big,adjective_ordering,none,target,3,3,bottle_glass_small,adjective_ordering,none,distractor,4,1,bottle_plastic_big,adjective_ordering,none,distractor,2,2,bottle_plastic_small,adjective_ordering,none,distractor,1,4
4108-4,1621446348914,22,clickedObj,,bowl,filler,none,target,3,4,banana,filler,none,distractor,1,1,elephant,filler,none,distractor,2,3,guitar,filler,none,distractor,4,2
4108-4,1621446357401,23,clickedObj,,pepper_big_green,overinformativeness,color_sufficient,target,3,2,pepper_small_red,overinformativeness,color_sufficient,distractor,2,1,pepper_big_red,overinformativeness,color_sufficient,distractor,4,3,pepper_big_red,overinformativeness,color_sufficient,distractor,1,4
4108-4,1621446375969,24,clickedObj,,shorts_dry_red,adjective_ordering,none,target,1,2,shorts_dry_green,adjective_ordering,none,distractor,2,3,shorts_wet_red,adjective_ordering,none,distractor,3,1,shorts_wet_green,adjective_ordering,none,distractor,4,4
4108-4,1621446386570,25,clickedObj,,brush_big_blue,overinformativeness,size_sufficient,target,3,3,brush_small_blue,overinformativeness,size_sufficient,distractor,4,1,brush_small_blue,overinformativeness,size_sufficient,distractor,1,2,brush_small_red,overinformativeness,size_sufficient,distractor,2,4
4108-4,1621446392926,26,clickedObj,,dog,filler,none,target,1,1,strawberry,filler,none,distractor,3,4,butterfly,filler,none,distractor,4,2,chick,filler,none,distractor,2,3
4108-4,1621446401166,27,clickedObj,,apple_small_green,overinformativeness,size_sufficient,target,4,3,apple_big_green,overinformativeness,size_sufficient,distractor,3,4,apple_big_green,overinformativeness,size_sufficient,distractor,2,2,apple_big_red,overinformativeness,size_sufficient,distractor,1,1
4108-4,1621446409798,28,clickedObj,,lighter_big_white,overinformativeness,color_sufficient,target,3,1,lighter_big_black,overinformativeness,color_sufficient,distractor,4,2,lighter_big_black,overinformativeness,color_sufficient,distractor,1,4,lighter_small_black,overinformativeness,color_sufficient,distractor,2,3
4108-4,1621446425842,29,clickedObj,,spoon_wooden_clean,adjective_ordering,none,target,2,3,spoon_metal_clean,adjective_ordering,none,distractor,1,1,spoon_metal_dirty,adjective_ordering,none,distractor,3,4,spoon_wooden_dirty,adjective_ordering,none,distractor,4,2
4108-4,1621446436050,30,clickedObj,,box_open_cardboard,adjective_ordering,none,target,1,2,box_open_wood,adjective_ordering,none,distractor,4,4,box_closed_cardboard,adjective_ordering,none,distractor,2,1,box_closed_wood,adjective_ordering,none,distractor,3,3
4108-4,1621446443189,31,clickedObj,,guitar,filler,none,target,4,4,bowl,filler,none,distractor,1,2,elephant,filler,none,distractor,3,3,banana,filler,none,distractor,2,1
4108-4,1621446453228,32,clickedObj,,knife_small_blue,overinformativeness,size_sufficient,target,3,3,knife_big_blue,overinformativeness,size_sufficient,distractor,4,1,knife_big_red,overinformativeness,size_sufficient,distractor,2,4,knife_big_blue,overinformativeness,size_sufficient,distractor,1,2
4108-4,1621446457920,33,clickedObj,,cow,filler,none,target,3,2,carrot,filler,none,distractor,4,4,pitcher,filler,none,distractor,2,1,door,filler,none,distractor,1,3
4108-4,1621446464173,34,clickedObj,,toothbrush_small_green,overinformativeness,color_sufficient,target,1,1,toothbrush_big_purple,overinformativeness,color_sufficient,distractor,3,4,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,4,2,toothbrush_small_purple,overinformativeness,color_sufficient,distractor,2,3
4108-4,1621446469890,35,clickedObj,,door,filler,none,target,1,4,cow,filler,none,distractor,3,1,carrot,filler,none,distractor,2,3,pitcher,filler,none,distractor,4,2
4108-4,1621446480852,36,clickedObj,,hair_straight_blond,adjective_ordering,none,target,4,4,hair_curly_blonde,adjective_ordering,none,distractor,1,2,hair_straight_brown,adjective_ordering,none,distractor,2,1,hair_curly_brown,adjective_ordering,none,distractor,3,3
4108-4,1621446489297,37,clickedObj,,tshirt_small_orange,overinformativeness,color_sufficient,target,3,1,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,4,2,tshirt_small_yellow,overinformativeness,color_sufficient,distractor,1,3,tshirt_big_yellow,overinformativeness,color_sufficient,distractor,2,4
4108-4,1621446501646,38,clickedObj,,earring_small_triangular,adjective_ordering,none,target,1,2,earring_small_round,adjective_ordering,none,distractor,2,1,earring_big_round,adjective_ordering,none,distractor,4,4,earring_big_triangular,adjective_ordering,none,distractor,3,3
4108-4,1621446506778,39,clickedObj,,chick,filler,none,target,1,2,dog,filler,none,distractor,3,4,strawberry,filler,none,distractor,4,1,butterfly,filler,none,distractor,2,3
4108-4,1621446515402,40,clickedObj,,glasses_small_blue,overinformativeness,size_sufficient,target,4,2,glasses_big_blue,overinformativeness,size_sufficient,distractor,1,4,glasses_big_red,overinformativeness,size_sufficient,distractor,2,1,glasses_big_blue,overinformativeness,size_sufficient,distractor,3,3
4108-4,1621446534974,41,clickedObj,,clock_small_yellow,overinformativeness,size_sufficient,target,4,2,clock_big_purple,overinformativeness,size_sufficient,distractor,2,3,clock_big_yellow,overinformativeness,size_sufficient,distractor,3,4,clock_big_yellow,overinformativeness,size_sufficient,distractor,1,1
4108-4,1621446561136,42,clickedObj,,nails_black_glossy,adjective_ordering,none,target,2,2,nails_red_glossy,adjective_ordering,none,distractor,4,3,nails_black_matte,adjective_ordering,none,distractor,3,1,nails_red_matte,adjective_ordering,none,distractor,1,4
4108-4,1621446573620,43,clickedObj,,frog_striped_red,adjective_ordering,none,target,1,3,frog_spotted_green,adjective_ordering,none,distractor,4,1,frog_spotted_red,adjective_ordering,none,distractor,2,2,frog_striped_green,adjective_ordering,none,distractor,3,4
